background,kind,input,content
Telegram_Chat_Message,赌博,"下面是一段telegram的聊天记录，请判断其是否与黑灰产相关，若相关请将其进一步分类：
-------------
博彩三网实时数据，日活跃数据
综合盘数据
棋牌数据
六合数据
彩票数据
电子捕鱼
体育数据
稳定出数中，可以指定平台网址抓取。保证实时一手数据.
目前日活跃数据稳定量高，8~15的效果！具体数值看团队
五千条起定，可选择运营商，地区
-------------
下单客服：**@kkiip88**",这是一段与赌博相关的黑灰产聊天记录。
Telegram_Chat_Message,赌博,"下面是一段telegram的聊天记录，请判断其是否与黑灰产相关，若相关请将其进一步分类：
#[尊龙凯时](http://z888.bet/)最近活动预告
五一劳动大丰收，总奖1000000，冠军爽拿108888.联系**@ZLKS868**即可申请；

活动详情：https://serhg.com/register
**注册即18元，首存100送100，一倍流水****@ZLKS868**

注册网址:z888.bet
注册网址:ag88.org
注册网址:z789.bet

",这是一段与赌博相关的黑灰产聊天记录。
Telegram_Chat_Message,赌博,"下面是一段telegram的聊天记录，请判断其是否与黑灰产相关，若相关请将其进一步分类：
**#群友投稿********#豪利777********#黑款500万****

在豪利输了1000w的大哥，终究还是被杀猪了******

从豪利旗下平台玩起开始到18胜再到豪利，前前后后在豪利共计两年多时间，输了一千W,好不容易回血了500万，豪利已各种理由开始推脱，直接把账号也给封了。

微信专员也把我拉黑了，找在线客服直接窗口弹出啦。如有能提供中国市场负责人国内家人位置的定重谢。

我刚才菲律宾回国，我现在对豪利恨之入骨，如果能给我他国内家人地址一定重谢",这是一段与赌博相关的黑灰产聊天记录。
Telegram_Chat_Message,赌博,"下面是一段telegram的聊天记录，请判断其是否与黑灰产相关，若相关请将其进一步分类：
**J9九游会中文站PG重新上架**

#PG电子已上线！
#PG电子已上线！！
#PG电子已上线！！！

**AG集团官方登录地址**：
九游会：j9vip1.com
九游会：j9vip2.com
九游会：j9vip3.com

无需实名绑卡
支持全球号码
日充提/洗码均无上限隐私性极高
会员永不掉级
电子反水1%，无需等待钱包内一键结算
可参加优惠和首存活动
人民币USDT双充值渠道
**菲律宾美国台湾IP**",这是一段与赌博相关的黑灰产聊天记录。
Telegram_Chat_Message,赌博,"下面是一段telegram的聊天记录，请判断其是否与黑灰产相关，若相关请将其进一步分类：
**捕鱼本人亲测！！！直接了家人们，上了七百下一万，简直不要太刺激了

联系我开户爆分****@jx25568****

下载链接****boy7777.cc****
网页链接****boy8888.cc****

邀请码25568

支持USDT存取款**",这是一段与赌博相关的黑灰产聊天记录。
Telegram_Chat_Message,赌博,"下面是一段telegram的聊天记录，请判断其是否与黑灰产相关，若相关请将其进一步分类：
**老澳门六合彩简称私彩，就是说私人开的奖，并不是什么官方开奖，说白了就是吃大赔小，我们是跟内幕人员配合劫持了澳彩大数据，所以才有内幕资料

老澳彩六码稳赢

合作查看置顶扫一扫V
合作查看置顶扫一扫V**",这是一段与赌博相关的黑灰产聊天记录。
Telegram_Chat_Message,赌博,"下面是一段telegram的聊天记录，请判断其是否与黑灰产相关，若相关请将其进一步分类：
[@SOSO](https://t.me/soso?start=a_6098952331)付费轮播广告

[PG电子/麻将胡了/官方授权/好打好爆/提款秒到！](https://t.me/PgGameSlotBot)

PG电子@PgGameSlotBot人民币版本！无须注册,上分即可娱乐,提款秒到！@okpay,USDT上下分,方便快捷！官方自营,放心娱乐！交流群：@buyu
分享给好友不论输赢获得他的下注奖励！动动手指月入上万，躺赚！",这是一段与赌博相关的黑灰产聊天记录。
Telegram_Chat_Message,赌博,"下面是一段telegram的聊天记录，请判断其是否与黑灰产相关，若相关请将其进一步分类：
[@SOSO](https://t.me/soso?start=a_6098952331)付费轮播广告

[腾博会娱乐](https://t.me/tttttt)

腾博会旗下游戏：汇旺担保公群加拿大PC28,网盘28,2.8倍pc28哈希28，哈希老虎百家乐，电子，捕鱼，骰子游戏，赌场百家乐
汇旺担保总上押200万美金，放心娱乐！",这是一段与赌博相关的黑灰产聊天记录。
Telegram_Chat_Message,赌博,"下面是一段telegram的聊天记录，请判断其是否与黑灰产相关，若相关请将其进一步分类：
[【每日福利视频更新，关注我不迷路】](https://t.me/flpdvip)

送一波福利注册充值有福利
冲500送188
冲1000送388
冲3000送588

奥队链接：aodui37.app
球速链接：qs1377.cc
球速备用：qs1377.cc/r/8sy4

猫头鹰彩金机客服：@MTY_vip",这是一段与赌博相关的黑灰产聊天记录。
Telegram_Chat_Message,赌博,"下面是一段telegram的聊天记录，请判断其是否与黑灰产相关，若相关请将其进一步分类：
[体育丨电竞丨AG丨真人丨百家乐丨彩票丨棋牌丨电子丨
](http://www.xc665.com/)投注网址：https://www.xc665.com/#/
备用网址：xcty.app
以上网址注册送18，首存100送100彩金专线：@LDll88
不限ip：资金安全干净极速存取。可U存U出，无需银行卡提款",这是一段与赌博相关的黑灰产聊天记录。
